28090a00a5	And he rose and followed him. And while he was at table in Matthew’s house, there came many tax-gatherers and sinners, and they dined with Jesus and his disciples.
28090b007d	When the Pharisees saw it, they kept saying to his disciples, "Why does your Teacher eat with the tax-gatherers and sinners?"
28090c0061	"It is not those who are well," said Jesus, when he heard this, "but the sick, who need a doctor.
28090d007e	"But go and learn what this means, "It is mercy I desire, and not sacrifice; for I am come not to call just men, but sinners."
28090e0082	At that time the disciples of Johncame and asked him, "Why are we and the Pharisees always fasting, while your disciples are not?"
28090f00bd	"Can the friends fast at a wedding-feast," said Jesus, "so long as the bridegroom is with them? But the days will come when the bridegroom has been taken from them, and then they will fast.
28091000a5	"No one ever sews a piece of undressed cloth on an old cloak. If they did, the patch put on to fill it up would tear away from the cloak, and the rent be made worse.
28091100d3	"Nor do they put new wine into old wine-skins; if they did, the wine- skins would split, the wine would run out, and the skins be ruined. Instead, they put new wine into fresh wine-skins and both are preserved."
28091200a5	As he was saying these words to them, a ruler came up and knelt before him, saying. "My daughter has just died; but come, put your hand upon her, and she will live."
280913003a	And Jesus rose and followed him, and so did his disciples.
280914006e	But a woman who had had a hemorrhage for twelve years came up behind him, and touched the tassel of his cloak.
280915004b	For she said to herself, "If only I can touch his cloak, I shall be cured."
280916008a	But Jesus turned and saw her and said, "Be of good courage, daughter, your faith has healed you." And the woman was healed from that hour.
2809170073	Now when Jesus had come into the house of the ruler, and had seen the flute-players and the wailing crowd, he said,
2809180063	"Leave the room, for the little girl is not dead, she is sleeping." And they began laughing at him.
2809190068	When, however, the crowd had been driven out, he went in and took her hand, and the little girl woke up.
28091a003b	And the report of this spread throughout that whole region.
28091b0064	And as he went on from thence two blind men followed Jesus, crying, "Have pity on us, Son of David!"
28091c007d	And when he had gone indoors, they came to him. "Do you believe that I can do this?" asked Jesus. "Yes, Lord," they answered.
28091d0068	Then he touched their eyes, saying "According to your faith be it unto you," and their eyes were opened.
28091e0049	Jesus charged them sternly, saying, "See to it that you let no one know."
28091f003a	But they went and published his fame in that whole region.
280920003e	And as they were departing a dumb demoniac was brought to him,
280921007e	and when he had driven out the demon, the dumb spoke. The crowds were amazed, saying, "Never was such a thing seen in Israel!"
280922006e	But the Pharisees kept saying, "It is in the power of the Prince of the demons that he is casting out demons."
28092300b0	And Jesus continued to go throughout all the cities and towns, teaching in the synagogues, preaching the gospel of the kingdom, and healing every kind of disease and infirmity.
280924007e	And when he saw the crowds he had compassion on them because they were distressed and fainting, like sheep without a shepherd.
280925004e	And he said to his disciples. "The harvest is great, but the laborers are few;
280926005c	"therefore beseech the Lord of the harvest to thrust forth laborers into his harvest field."
280a01009c	And when he had called his twelve disciples to him, he gave them power over evil spirits, to cast them out, and to heal every kind of disease and infirmity.
280a02009e	These are the names of the apostles (missionaries). First, Simon who is called Peter, and Andrew, his brother; Jamesthe son of Zebedee, and John, his brother;
280a030083	Philip and Bartholomew; Thomas, and Matthew, the tax-gatherer; James, the son of Alphaeus, and Lebbaeus, whose surname is Thaddeus;
280a040036	Simon the Zealot, and Judas Iscariot who betrayed him.
280a050092	These men, the Twelve, Jesus sent forth, after giving them the following instructions. "Do not go among the Gentiles, or enter any Samaritan town,
280a060044	"but rather be on your way to the lost sheep of the house of Israel.
280a070043	"As you go, preach, saying, ‘The kingdom of heaven is at hand.’
280a08006b	"Heal the sick, raise the dead, cleanse the lepers, cast out demons. Freely you have received, freely give.
280a090032	"Take no gold or silver or coppers in your purses;
280a0a007a	"not even a bag for the journey, or a change of clothes, or sandals, or even a stick; for the worker is worth his rations.
280a0b006f	"Into whatever city or town you enter, inquire for some worthy person there, and stay with him until you leave.
280a0c0025	"When you enter the house, salute it;
280a0d0072	"and if the house is worthy let your blessing sit upon it; but if it be unworthy, let your blessing return to you.
280a0e008e	"And whoever will not receive you or listen to your words, as you go out from that house or that city, shake off the very dust from your feet.
280a0f0070	"I tell you solemnly it will be more tolerable for Sodom and Gomorrah in the Day of Judgment than for that town.
280a100071	"Behold, it is I who am sending you forth like sheep among wolves. Be then as serpents and as guileless as doves.
280a110061	"But beware of men! For they will give you up to the Sanhedrin, and flog you in their synagogues.
280a12006a	"And you will be taken before governors and kings for my sake, as a testimony to them and to the Gentiles.
280a13009c	"But whenever they apprehend you, do not be anxious about how you shall speak or what you shall say; for it will be given you in that very hour what to say.
280a140059	"For it will not be you who is speaking, but the Spirit of your Father who speaks in you.
280a150089	"And brother will betray brother to death, and a father his child; and children will rise up against their parents and put them to death.
280a16005f	"You will be hated by all men because of my name; and he who endures to the end shall be saved.
280a1700ab	"But when they persecute you in one city, flee to the next. In solemn truth I tell you that you shall not have completed the cities of Israel, before the Son of man comes.
280a180041	"A pupil is not above his teacher, nor a slave above his masters.
280a1900b3	"It is enough for the pupil to fare like his teacher, and the slave like his master. If they called the master of the house Beelzebub, how much more, the members of his household.
280a1a0083	"So do not fear them; for there is nothing concealed which shall not be revealed, nor anything secret which shall not become known.
280a1b0085	"What I am telling you is in the darkness, do you speak in the light; and what is whispered in your ear, proclaim upon the housetops.
280a1c008a	"Do not be afraid of those who kill the body, but cannot kill the soul; but fear rather him who can destroy both soul and body in Gehenna.
280a1d006d	"Are not two sparrows sold for a half-penny? Yet not one of them will fall to the ground without your father.
280a1e002e	"The very hairs on your head are all numbered.
280a1f0041	"Cease to be afraid! You are of greater value than many sparrows.
280a200068	"Every one, then, who will confess me before men, I also will confess before my Father who is in heaven.
280a210059	"But whoever disowns me before men, I also will disown before my Father who is in heaven.
280a220066	"Do not suppose that I am come to bring peace on the earth; I am come not to bring peace, but a sword.
280a230079	"For I came to set "a man against his father, a daughter against her mother, a daughter-in-law against her mother-in-law;
280a240031	"and a man’s own household will be his enemies.
280a250083	"He who loves father or mother more than me is not worthy of me; and he who loves son or daughter more than me is not worthy of me;
280a26004c	"and he who does not take his cross and follow after me is not worthy of me.
280a270061	"He who has saved his life shall lose it; and he who has lost his life for my sake shall find it.
