3a0000000b	aBiraniyawa
3a060c0091	Ntitarado icuge hare nikəri, ama sa ire saa haremay sa ne aməmo une wo iruwa, ne uraara wo iruwa ⁺akpaa apuwa sa Ashini ˂ukukone uta une-ha.
3a060d0087	Agabaa sa Ashini ˂ukuyane Ibirahem nikəwəri newo, sa ˂akazaa awaasa upere-wo, sa ˂ukuta utuna ne wo, hane ⁺utuna ne niciye newo.
3a060e0057	Ashini ⁺ukuna, “Kiwenden nta n-yane-bo apuwa anowa, nta nwone ataa habo are gay.”
3a060f0048	Sa Ibirahem ˂ukureete uya, hane ⁺ukpaa apuwa sa ˂akakone ata ane-wo.
3a06100070	Agana ꞊akayane ituna ne awaasa upere-ha, itunay ꞊ikidonke apuwa sa ⁺akuna, a ꞊ikare kuwede nje nkagaraa.
3a061100a1	Wərike Ashini ˂ukutare udonke ne nsaa ke nitaa ne Ibirahem, wo, a bore ꞊uyane wo apuwa sa ⁺ukuna uta uyane, hane ⁺uyane ituna wərike udonke a nongo are.
3a0612010a	Ashini uza uyane-wo anuwe, wərike nongo apuwa sa ⁺ukuna uta uyane, a itunay sa ⁺uyane, a ana are apuwa tiriya tee sa aza ahangiza-ha ana. A ana ⁺awuna ⁺ticiye ugaso wo iruwa gay, haro sa ⁺ticuma niya ke Ashini wərike ticiye uwuna wo iruwa sa ⁺ane haro.
3a061300ac	⁺Ticiye uwuna wo iruwa yee sa ꞊uwooze haro ˃titore ne ugaso shere uwuwage ne aməmo iruwa. ꞊Uwooze ꞊unugizi aməmo gay utine ne unaabune ne aməmo ukura wo Ashini,
3a06140077	tiya sa Yeso ⁺uciba haro ⁺unugi ne uməy wooro. ⁺Ucuge Borewono wo mPiris shere umuwene ne ugbaaro wo Menkizedek.
3a070100d5	Menkizedek ˂ukure bigbama bo uSanem a upiris wo Baakashini. ˂Ukudubna ne Ibirahem agabaa sa Ibirahem ˂ukuziyaze sa ˂ukuya ⁺uyane ntaa ⁺upira ugaso wo ananke agbama, hane Menkizedek ⁺uwuna-wo apuwa anowa,
3a070200f2	hane Ibirahem ⁺une-wo apuwa nidii ne ashini ha nikuri ha unaafase wo kuwede yina. Ne uciba, niziya nee Menkizedek ˃nigose, a “bigbama bo uyane wo anowa” ne “bigbama bo uSanem” sa nikuri ˃nigose, a “bigbama bo uraara wo iruwa.”
3a07030092	Menkizedek uza-wo babba baa yaa, uza-wo ncaaran, uza-wo agaba ha awure, baa agaba ha ungməne woo. Saa Vana bo Ashini, wo, a upiris shere umuwene.
3a070400a7	Gbənken a inay tantaasa umənu woo ˂ukure. Kuwede gade a Ibirahem, caara bo ncaaran maaro, ˂ukune-wo apuwa nidii ne aməmo nikuri, ha apuwa sa ˂ukuvuwa ninka ntaa.
3a070500af	Uduwaka ⁺ukuna, nitaa ne Naawi sa ⁺acuge mpiris, ata akpaa apuwa nidii ne ashini ha nikuri ke aruwanke haa aSarinawa, ne ukuna yaaro aruwanke haa duki a nitaa ne Ibirahem.
3a070600bf	Menkizedek, haza a ne aməmo nitaa ne Naawi ˂ukukaane ne, ama ˂ukukpaa apuwa nidii ne ashini ha nikuri ke Ibirahem, hane ⁺uwuna-wo apuwa anowa, awaasa a wo Ashini ˂ukuyane-wo nikəwəri.
3a07070058	Tantaasa are, awaasa ꞊ukuwone bigi apuwa anowa, umaane awaasa ⁺awuna-wo apuwa anowa.
3a070800d4	Mpiris sa adi ne nitaa ne Naawi, kuwede sa hamaa ꞊angməəzi, ꞊akakpaa apuwa nidii ne ashini ha nikuri ke agana. Ama Menkizedek sa ⁺akuna uren ne uray, ˂ukukpaa apuwa nidii ne ashini ha nikuri ke Ibirahem.
3a0709009a	Bigana uta uyiyame a ukone, Naawi sa ꞊ukpaaze apuwa nidii ne ashini ha nikuri, womaa ˂ukune Menkizedek nidii ne ashini ha nikuri ne uwunda wo Ibirahem,
3a070a0064	wərike agabaa sa Menkizedek ˂ukudubna ne Ibirahem, Naawi ˂ukudaa ne aməmo nipum ne ncaaran mawo.
3a070b00eb	Nituma ne mpiris me nitaa ne Naawi ˂kiniye duki ne uduwaka wo Mosa sa ˂akane aSarinawa, gade ꞊niwooze ungmaa ne uyane wo anowa, gade ayina awuna unanke upiris muwa ⁺uye, awaasa ure ugbaaro wo Menkizedek haza ne ugbaaro wo Aruuna?
3a070c005c	Wərike ka ahangiza tantaasa nituma ne mpiris nire, ata akuri ahangiza tantaasa uduwaka ure.
3a070d00ab	Awaasa ⁺ayane anaza ha apuwa hay ne ashini hawo, a ne ninanke nitaa muwa ˂ukukaanen, azaa bigana bigəndi ne aməmo nitaa neen sa ⁺unumaga uyane wo nituma saa upiris.
3a070e008d	Anaza hay a nongo are, Mbaa wooro a ne aməmo nitaa ne Yahuda ˂ukudin, Mosa ˂ukudaake uyane anaza ne ashini ha mpiris ne aməmo nitaa neen.
3a070f0052	Apuwa sa ⁺tinasa ⁺akaana ne nsaa, sa unanke upiris muwa ⁺uye saa Menkizedek,
3a0710009b	sa ⁺ucuge upiris haza a ne ashini ha unanke uduwaka ne ashini ha apuwa sa adi ne aməmo nitaa newo, ama a ne ashini ha ugaso wo uray wo uzira wo umuwene.
3a07110062	⁺Ayane anaza ne ashini hawo ⁺akuna, “Bo a upiris shere umuwene, ne ugbaaro wo Menkizedek.”
3a0712004e	⁺Acay uduwaka wo uciba ne agərife, wərike uzira wo ugaso ne mbenne me una,
3a071300bb	wərike uduwaka udaake uhama uwuna wo ananke apuwa are tantaasa Ashini utare are. Ama saanuwa ⁺adonke unanke uwuna wo iruwa sa umaane, a ne ashini ha una ꞊tikiyerenzu n-yaa ke Ashini.
3a0714006d	Ashini ⁺uwuna apuwa hay are nongo ne ituna sa ˂ukuyane, haage ⁺acuge mpiris shere uyane wo inanke ituna.
3a0715009a	Yeso ⁺ucuge upiris ne itunay sa Ashini ˂ukuyane ⁺ukuna, “Me, Mbaa ˂nnimare ⁺n-yane ituna nza nhangiza-m iruwa yom, Bo a upiris shere umuwene.”
3a07160063	A wərike ituna yee, Yeso ⁺ucuge bore uwuna wo nikəwəri ne Ashini sa nimaane unoo nicuge nongo.
3a0717005a	Saanuwa mpiris saa mayen nkihare gay, ungməne ˂ukukare-ha uniya wo ubusa ne nituma neha,
3a0718004f	ama wərike Yeso uren shere umuwene, ꞊upiti upkənku wo mpiris shere umuwene.
3a071900af	Wərike nongo, uciye ugaso wo uyane wo unaafase wo utubsa wo haremay sa ˃ayiyezi ke Ashini ne ashini hawo, kuwede uje uweng uren, wərike uyane wo nwure ke Ashini uməy woha.
3a071a00a7	Ayane unoo ure Borewono wo mPiris maaro, bore nsano, bore uzira wo araa ne ananke apuwa ha ncaanom, awaasa ⁺acaye-wo muwa ne hare araa, ⁺anyante-wo ⁺umaa nshini.
3a071b0100	Wo haza saa haage harewono wo mpiris ure, sa ꞊akayane uniyaze wo kiwaa ke binama kuwede uje uweng, ne uciba wərike aciye haa a wərike apuwa araa ha agana. ˂Ukuyane uniyaze wo kiwaa nidii cas, wərike apuwa araa ha agana, agabaa sa ˂ukune niciye newo.
3a071c00eb	Uduwaka wo Mosa ꞊ukuwone azangneke harewono wo mpiris hare uzira wo ugaso, ama ituna sa Ashini ˂ukuyane, sa ˂ikidafe utine wo uduwaka wo Mosa, ⁺izangneke Vanama, awaasa ⁺awuna-wo ungmaa ne unaafase wo kuwede yina shere umuwene.
3a08010093	Unaafase wo apuwa sa ˃tinaze, a anay, ticiye Borewono wo mPiris, awaasa ⁺ucuge ne taare tine te ukpənku wo tigbama te Bore Upere sa ure ashini,
3a08020062	a wo ꞊uyane nituma ne aməmo ayaara ha nsano, uTenti wo kiwenden sa Mbaa ⁺uyane haza a bigana.
3a080300b4	Kuwede bije borewono wo mpiris, ꞊akazangneke-wo wərike uyane uniyaze ne kiwaa ke binama wərike ane Ashini. Wərike nongo, ⁺akafa a Animasihu womaa, sa uciye apuwa sa uta une.
3a08040081	Gade a ne inang uren, gade wo haza upiris, wərike ˂akananke aciye haage sa ˂akayane uniyaze tantaasa uduwaka wo Mosa ⁺ukuna.
3a080500fa	Mpirisma ꞊ayane Ashini nituma ne ayaara ha nsano, hay sa a uwurigine sa udonkize apuwa sa are ashini. Ne agabaa sa Mosa ukuta utunki uTenti, Ashini ˂ukuyane-wo uduwama ⁺ukunan kewo, “Yane kuwede yina tantaasa ⁺ndonke-bo ashini ne utaanew.”
3a08060102	Ama saanuwa ⁺ane Yeso nituma ne upiris sa nimaane unoo, tantaasa nikəwəri neen nimaane unoo, nee sa a Yeso ure bore utunna ne ntitay me agana ne Ashini. Nikəwəri neen nimaane unoo, wərike ⁺atunki nina ne apuwa sa ⁺ukukone uta uyane sa amaane unoo.
3a08070058	Gade nikəwəri ne uciba ˂akadaake aciye uzira wo araa ne, gade adaake anaase ne uriya.
3a080800b1	Ama Ashini ˂ukuciye agana ne uyane wo araa, hane ⁺ukuna, “Agaba ayiyezi, sa nta n-yane nikəwəri nisawno ne ukura wo Isarina ne ukura wo Yahuda, apuwa sa ze Mbaa ⁺ukuna.
3a080900d7	Nizanere-wo saa nikəwəri sa ˂nkiyane ne ncaaran meha sa ˂nkicuwana-ha ne taare wərike nkatte-ha uMasar, wərike ˂akadaake apiti nikəwəri nom ne kiwenden, hane ⁺nhangiza-ha utine, apuwa sa ze Mbaa ⁺ukuna.
3a080a00ce	A nikəwəri nee nta n-yane ne ukura wo Isarina ka agaba hayen amaa, nta nwone nduwaka mam ne aməmo iruwa yeha, a ncaze nna ne iruwa yeha, apuwa sa ze Mbaa ⁺ukuna. Nta nre Ashini haa, a ha are agana ham.
3a080b00b1	Agana aza adome ayene-ha aruwanke haa udonkize, baa bigi ukonen ke biruwanke bewo, ‘Yiyama Mbaa,’ wərike unaafase woha ata ayiyame-m, ucuwana ke bicimibu niya ke bimənubu,
3a080c0053	wərike nta nviyase-ha apuwa araa. Nza ndome mbatiriza-m apuwa araa sa ⁺ayane.”
3a080d0084	Sa Ashini ˂ukuyane anaza ha nikəwəri nisawno, ⁺ukutti ne ucibaw a nikoneno. Apuwa sa are akoneha sa ꞊akonenza, ata anaa yare.
3a09010071	Ama nikəwəri ne uciba, niciye nduwaka may sa ata a dafe, wərike arumi Ashini, ne ayaara ha nsano ne inang yee.
3a090200a7	⁺Atunki uTenti, ne upang wo ucibaw, ⁺awuna ubinda sa upiti mpitina, ne utebur a mburodi sa ⁺acay wərike adonkize. Upang wee a una ꞊agaase una Ayaara ha Nsano.
3a0903006c	Unaabine ˂ukure ne, utine ne unaabunew, unanke upang wo uriya uren sa ꞊agaase una ayaara sa amaane nsano,
